
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
658221 263288 230377 2764.77 1293.12 393595 
CV Recruit
1.81001 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 176710 176758 176831 177229 203.765 
2018  0 135281 146281 122563 123668 125264 134023 4478 
2019  0 135281 146281 86078.4 94534.4 104168 157503 27972.9 
2020  0 135281 146281 42676.4 63034 84544 202740 58924.2 
2021  0 135281 146281 26235.1 60283.5 90463.8 254521 79894.2 
2022  0 135281 146281 0 68715.9 98154.2 290398 92139.8 
2023  0 135281 146281 0 85537.2 115693 312022 100711 
2024  0 135281 146281 0 97215.3 126185 324806 106178 
2025  0 135281 146281 0 101893 130576 335305 106467 
2026  0 135281 146281 23934.9 101154 130455 335780 105402 
2027  0 135281 146281 0 104096 129111 329157 105406 
2028  0 135281 146281 21694.6 101610 126738 313329 103737 
2029  0 135281 146281 24512.6 99286.6 125892 314555 102970 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 397851 397851 397851 397853 1.13218 
2018 658221 263288 230377 367123 367438 367911 370520 1335.59 
2019 658221 263288 230377 266540 269093 271999 288089 8477.26 
2020 658221 263288 230377 185749 199530 214329 298093 43446.2 
2021 658221 263288 230377 141734 180559 210396 388661 90884.9 
2022 658221 263288 230377 128321 194841 234967 477298 126250 
2023 658221 263288 230377 127472 214207 259096 561855 144986 
2024 658221 263288 230377 130957 227487 277163 597791 158320 
2025 658221 263288 230377 132140 229942 285086 607330 167321 
2026 658221 263288 230377 132593 231124 287631 617961 168471 
2027 658221 263288 230377 133669 232287 287871 617984 167240 
2028 658221 263288 230377 133473 235489 286574 614814 167136 
