
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
658221 263288 230377 2764.77 1293.12 393595 
CV Recruit
1.81001 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2029 658221 263288 230377 133688 238813 283732 597316 166008 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2018  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2019  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2020  0 0.26504 0.313047 0.182874 0.197477 0.207106 0.26504 0.0251448 
2021  0 0.26504 0.313047 0.136236 0.177375 0.189896 0.26504 0.0439677 
2022  0 0.26504 0.313047 0 0.192509 0.188193 0.26504 0.073468 
2023  0 0.26504 0.313047 0 0.21303 0.19913 0.26504 0.0736094 
2024  0 0.26504 0.313047 0 0.227102 0.205253 0.26504 0.0730151 
2025  0 0.26504 0.313047 0 0.229703 0.20932 0.26504 0.0678397 
2026  0 0.26504 0.313047 0.126016 0.230957 0.211315 0.26504 0.0658429 
2027  0 0.26504 0.313047 0 0.232187 0.211223 0.26504 0.0672735 
2028  0 0.26504 0.313047 0.126701 0.235582 0.212402 0.26504 0.0660124 
2029  0 0.26504 0.313047 0.127318 0.239103 0.213376 0.26504 0.0644311 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 902955 1.23686e+06 1.54635e+06 3.33163e+06 897318 
2019 2.53966e+06 1.78239e+06 1.71454e+06 745491 1.23613e+06 1.57427e+06 3.58487e+06 988388 
2020 2.53966e+06 1.78239e+06 1.71454e+06 644561 1.28011e+06 1.63537e+06 3.84791e+06 1.10601e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 599396 1.33364e+06 1.73119e+06 4.17058e+06 1.20713e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 599737 1.3652e+06 1.74594e+06 4.15973e+06 1.20677e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 606215 1.48131e+06 1.83209e+06 4.13969e+06 1.22222e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 613878 1.50963e+06 1.83458e+06 4.17551e+06 1.21501e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 646052 1.50929e+06 1.82329e+06 4.06211e+06 1.23107e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 659018 1.45577e+06 1.81431e+06 3.98329e+06 1.21943e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 625914 1.4382e+06 1.81032e+06 4.2518e+06 1.22424e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 634789 1.44131e+06 1.79542e+06 4.15695e+06 1.18431e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 649531 1.4136e+06 1.77987e+06 4.06726e+06 1.15917e+06 
Alternative 2 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 176710 176758 176831 177229 203.765 
2018  0 135281 146281 122563 123668 125264 134023 4478 
2019  0 135281 146281 86078.4 94534.4 104168 157503 27972.9 
2020  0 135281 146281 42676.4 63034 84544 202740 58924.2 
2021  0 135281 146281 26235.1 60283.5 90463.8 254521 79894.2 
2022  0 135281 146281 0 68715.9 98154.2 290398 92139.8 
2023  0 135281 146281 0 85537.2 115693 312022 100711 
2024  0 135281 146281 0 97215.3 126185 324806 106178 
2025  0 135281 146281 0 101893 130576 335305 106467 
2026  0 135281 146281 23934.9 101154 130455 335780 105402 
2027  0 135281 146281 0 104096 129111 329157 105406 
2028  0 135281 146281 21694.6 101610 126738 313329 103737 
2029  0 135281 146281 24512.6 99286.6 125892 314555 102970 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 397851 397851 397851 397853 1.13218 
2018 658221 263288 230377 367123 367438 367911 370520 1335.59 
2019 658221 263288 230377 266540 269093 271999 288089 8477.26 
2020 658221 263288 230377 185749 199530 214329 298093 43446.2 
2021 658221 263288 230377 141734 180559 210396 388661 90884.9 
2022 658221 263288 230377 128321 194841 234967 477298 126250 
2023 658221 263288 230377 127472 214207 259096 561855 144986 
2024 658221 263288 230377 130957 227487 277163 597791 158320 
2025 658221 263288 230377 132140 229942 285086 607330 167321 
2026 658221 263288 230377 132593 231124 287631 617961 168471 
2027 658221 263288 230377 133669 232287 287871 617984 167240 
2028 658221 263288 230377 133473 235489 286574 614814 167136 
2029 658221 263288 230377 133688 238813 283732 597316 166008 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2018  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2019  0 0.26504 0.313047 0.26504 0.26504 0.26504 0.26504 2.22045e-16 
2020  0 0.26504 0.313047 0.182874 0.197477 0.207106 0.26504 0.0251448 
2021  0 0.26504 0.313047 0.136236 0.177375 0.189896 0.26504 0.0439677 
2022  0 0.26504 0.313047 0 0.192509 0.188193 0.26504 0.073468 
2023  0 0.26504 0.313047 0 0.21303 0.19913 0.26504 0.0736094 
2024  0 0.26504 0.313047 0 0.227102 0.205253 0.26504 0.0730151 
2025  0 0.26504 0.313047 0 0.229703 0.20932 0.26504 0.0678397 
2026  0 0.26504 0.313047 0.126016 0.230957 0.211315 0.26504 0.0658429 
2027  0 0.26504 0.313047 0 0.232187 0.211223 0.26504 0.0672735 
2028  0 0.26504 0.313047 0.126701 0.235582 0.212402 0.26504 0.0660124 
2029  0 0.26504 0.313047 0.127318 0.239103 0.213376 0.26504 0.0644311 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 902955 1.23686e+06 1.54635e+06 3.33163e+06 897318 
2019 2.53966e+06 1.78239e+06 1.71454e+06 745491 1.23613e+06 1.57427e+06 3.58487e+06 988388 
2020 2.53966e+06 1.78239e+06 1.71454e+06 644561 1.28011e+06 1.63537e+06 3.84791e+06 1.10601e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 599396 1.33364e+06 1.73119e+06 4.17058e+06 1.20713e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 599737 1.3652e+06 1.74594e+06 4.15973e+06 1.20677e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 606215 1.48131e+06 1.83209e+06 4.13969e+06 1.22222e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 613878 1.50963e+06 1.83458e+06 4.17551e+06 1.21501e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 646052 1.50929e+06 1.82329e+06 4.06211e+06 1.23107e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 659018 1.45577e+06 1.81431e+06 3.98329e+06 1.21943e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 625914 1.4382e+06 1.81032e+06 4.2518e+06 1.22424e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 634789 1.44131e+06 1.79542e+06 4.15695e+06 1.18431e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 649531 1.4136e+06 1.77987e+06 4.06726e+06 1.15917e+06 
Alternative 3 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 112610 112639 112683 112926 124.408 
2018  0 135281 146281 85901.2 86576.8 87552.5 92907.3 2737.73 
2019  0 135281 146281 66213.7 71447.5 77411.6 110506 17344.6 
2020  0 135281 146281 49203.4 64000.6 75528.4 148902 34968.6 
2021  0 135281 146281 37878.8 63121.2 79851.5 176964 49367.2 
2022  0 135281 146281 25966 61721.1 79379.7 199661 57776.3 
2023  0 135281 146281 26992.1 71397.3 90787.7 218266 64245.6 
2024  0 135281 146281 29663.8 78943.2 99115.7 238365 68864.1 
2025  0 135281 146281 31848.5 83651.7 103753 243497 70371.5 
2026  0 135281 146281 31323.4 83128 103643 246223 70230.9 
2027  0 135281 146281 31704.1 84678.4 103238 240293 70474.4 
2028  0 135281 146281 32937.7 84282.9 101687 233918 69920.2 
2029  0 135281 146281 31782.8 80642.3 100738 236251 69383.6 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 404948 404948 404949 404951 1.13221 
2018 658221 263288 230377 408018 408333 408807 411417 1336.57 
2019 658221 263288 230377 323908 326480 329412 345651 8551.57 
2020 658221 263288 230377 241671 256353 272152 361522 46127 
2021 658221 263288 230377 182307 224882 260575 454805 104069 
2022 658221 263288 230377 154328 231689 283277 575305 153838 
2023 658221 263288 230377 141235 253709 308769 693606 182733 
2024 658221 263288 230377 130886 268228 331327 744411 203051 
2025 658221 263288 230377 126521 279460 344921 784044 218152 
2026 658221 263288 230377 124669 286824 352493 811343 223838 
2027 658221 263288 230377 123864 289876 356252 812839 224359 
2028 658221 263288 230377 123831 299944 357631 784591 225709 
2029 658221 263288 230377 128154 299745 356160 787632 225052 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2018  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2019  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2020  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2021  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2022  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2023  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2024  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2025  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2026  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2027  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2028  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 
2029  0 0.26504 0.313047 0.161811 0.161811 0.161811 0.161811 1.11022e-16 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 976822 1.31077e+06 1.62026e+06 3.4058e+06 897356 
2019 2.53966e+06 1.78239e+06 1.71454e+06 852637 1.3437e+06 1.6821e+06 3.69272e+06 988879 
2020 2.53966e+06 1.78239e+06 1.71454e+06 756798 1.39274e+06 1.75195e+06 3.95983e+06 1.10926e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 684924 1.4195e+06 1.83343e+06 4.31956e+06 1.21805e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 657643 1.46426e+06 1.84094e+06 4.28147e+06 1.22719e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 638688 1.57517e+06 1.93018e+06 4.3248e+06 1.2497e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 643144 1.6371e+06 1.94296e+06 4.32588e+06 1.25201e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 670373 1.64577e+06 1.94309e+06 4.30524e+06 1.27794e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 674995 1.58618e+06 1.94336e+06 4.3256e+06 1.26872e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 669022 1.56089e+06 1.9466e+06 4.4831e+06 1.27306e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 677549 1.60106e+06 1.93608e+06 4.41171e+06 1.23344e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 684913 1.59177e+06 1.92287e+06 4.34148e+06 1.21032e+06 
Alternative 4 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 53197.8 53211.1 53231.2 53341.8 56.625 
2018  0 135281 146281 44035.6 44343.4 44788.1 47228.2 1247.54 
2019  0 135281 146281 36805 39215.8 41963.5 57237.4 7999.87 
2020  0 135281 146281 29167.1 36063.4 41621.4 75504.5 16606.1 
2021  0 135281 146281 22948.1 35276 43536.7 91931.7 24381.1 
2022  0 135281 146281 14497.7 32879.3 41567.3 104556 29326.1 
2023  0 135281 146281 15059.7 37983.1 48154.1 115890 33275 
2024  0 135281 146281 16584.3 43605.1 53802 126422 36305.1 
2025  0 135281 146281 17971.9 46219.9 57320.1 136135 37695.1 
2026  0 135281 146281 17854.1 46883.8 57529.8 136054 37978.1 
2027  0 135281 146281 18139.3 47527.4 57588.2 131130 38196.4 
2028  0 135281 146281 18912.9 47066.9 56895 131134 37971.2 
2029  0 135281 146281 18658.1 45913.5 56324.9 129722 37715 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 411121 411122 411122 411124 1.13223 
2018 658221 263288 230377 446854 447169 447643 450255 1337.41 
2019 658221 263288 230377 383510 386098 389052 405419 8615.59 
2020 658221 263288 230377 308003 323126 339578 432313 47927.9 
2021 658221 263288 230377 246088 291986 330926 536803 113841 
2022 658221 263288 230377 213109 302171 360347 702913 177151 
2023 658221 263288 230377 192615 325041 391623 858103 217550 
2024 658221 263288 230377 180950 346432 422975 931783 246525 
2025 658221 263288 230377 172668 368185 446349 989314 269112 
2026 658221 263288 230377 173130 380943 462809 1.03095e+06 280918 
2027 658221 263288 230377 170900 386694 472872 1.04643e+06 284619 
2028 658221 263288 230377 168882 404092 479001 1.03621e+06 288065 
2029 658221 263288 230377 178867 410116 480288 1.03536e+06 288739 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2018  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2019  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2020  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2021  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2022  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2023  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2024  0 0.26504 0.313047 0.0736464 0.0736464 0.0736464 0.0736464 2.08167e-16 
2025  0 0.26504 0.313047 0.0736464 0.0736464 0.0734991 0.0736464 0.00329027 
2026  0 0.26504 0.313047 0.0736464 0.0736464 0.0732781 0.0736464 0.00519455 
2027  0 0.26504 0.313047 0.0736464 0.0736464 0.0732781 0.0736464 0.00519455 
2028  0 0.26504 0.313047 0.0736464 0.0736464 0.0734254 0.0736464 0.00402772 
2029  0 0.26504 0.313047 0.0736464 0.0736464 0.0731309 0.0736464 0.00614009 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 1.04565e+06 1.37963e+06 1.68912e+06 3.47489e+06 897389 
2019 2.53966e+06 1.78239e+06 1.71454e+06 961925 1.45335e+06 1.79197e+06 3.80261e+06 989300 
2020 2.53966e+06 1.78239e+06 1.71454e+06 881309 1.5276e+06 1.88027e+06 4.08406e+06 1.11217e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 802267 1.56314e+06 1.9704e+06 4.51755e+06 1.22781e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 769368 1.61744e+06 1.99135e+06 4.48226e+06 1.24738e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 758046 1.7454e+06 2.09374e+06 4.53697e+06 1.27888e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 755592 1.80956e+06 2.12431e+06 4.60244e+06 1.29212e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 788690 1.82881e+06 2.14225e+06 4.64257e+06 1.32856e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 788880 1.77801e+06 2.15825e+06 4.55053e+06 1.3238e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 798214 1.75946e+06 2.17303e+06 4.77328e+06 1.33013e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 803494 1.82265e+06 2.1703e+06 4.7815e+06 1.29238e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 819324 1.80898e+06 2.16188e+06 4.63326e+06 1.27172e+06 
Alternative 5 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 0 0 0 0 0 
2018  0 135281 146281 0 0 0 0 0 
2019  0 135281 146281 0 0 0 0 0 
2020  0 135281 146281 0 0 0 0 0 
2021  0 135281 146281 0 0 0 0 0 
2022  0 135281 146281 0 0 0 0 0 
2023  0 135281 146281 0 0 0 0 0 
2024  0 135281 146281 0 0 0 0 0 
2025  0 135281 146281 0 0 0 0 0 
2026  0 135281 146281 0 0 0 0 0 
2027  0 135281 146281 0 0 0 0 0 
2028  0 135281 146281 0 0 0 0 0 
2029  0 135281 146281 0 0 0 0 0 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 416358 416359 416359 416361 1.13226 
2018 658221 263288 230377 482347 482662 483137 485750 1338.11 
2019 658221 263288 230377 442312 444914 447887 464361 8669.45 
2020 658221 263288 230377 378586 393983 411092 506379 49489.1 
2021 658221 263288 230377 319026 367230 409609 631846 122847 
2022 658221 263288 230377 283833 381927 448467 849353 200132 
2023 658221 263288 230377 255034 406516 485648 1.0235e+06 253819 
2024 658221 263288 230377 236858 434950 527073 1.14258e+06 293836 
2025 658221 263288 230377 228595 469384 563013 1.22063e+06 326283 
2026 658221 263288 230377 226960 494268 592055 1.29815e+06 346690 
2027 658221 263288 230377 229725 510338 611516 1.291e+06 355789 
2028 658221 263288 230377 230192 531984 624968 1.34104e+06 362667 
2029 658221 263288 230377 238712 540713 631024 1.3293e+06 365777 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2016  0 0.26504 0.313047 0.239832 0.239832 0.239832 0.239832 5.80092e-15 
2017  0 0.26504 0.313047 0 0 0 0 0 
2018  0 0.26504 0.313047 0 0 0 0 0 
2019  0 0.26504 0.313047 0 0 0 0 0 
2020  0 0.26504 0.313047 0 0 0 0 0 
2021  0 0.26504 0.313047 0 0 0 0 0 
2022  0 0.26504 0.313047 0 0 0 0 0 
2023  0 0.26504 0.313047 0 0 0 0 0 
2024  0 0.26504 0.313047 0 0 0 0 0 
2025  0 0.26504 0.313047 0 0 0 0 0 
2026  0 0.26504 0.313047 0 0 0 0 0 
2027  0 0.26504 0.313047 0 0 0 0 0 
2028  0 0.26504 0.313047 0 0 0 0 0 
2029  0 0.26504 0.313047 0 0 0 0 0 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2016 2.53966e+06 1.78239e+06 1.71454e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.47244e+06 1.62981e-08 
2017 2.53966e+06 1.78239e+06 1.71454e+06 1.1816e+06 1.33228e+06 1.55921e+06 2.8084e+06 639654 
2018 2.53966e+06 1.78239e+06 1.71454e+06 1.10755e+06 1.44155e+06 1.75104e+06 3.537e+06 897416 
2019 2.53966e+06 1.78239e+06 1.71454e+06 1.06806e+06 1.5598e+06 1.8986e+06 3.90925e+06 989654 
2020 2.53966e+06 1.78239e+06 1.71454e+06 1.01102e+06 1.6585e+06 2.01357e+06 4.21385e+06 1.11472e+06 
2021 2.53966e+06 1.78239e+06 1.71454e+06 939204 1.71526e+06 2.11926e+06 4.67525e+06 1.23697e+06 
2022 2.53966e+06 1.78239e+06 1.71454e+06 908464 1.77921e+06 2.15891e+06 4.67836e+06 1.2678e+06 
2023 2.53966e+06 1.78239e+06 1.71454e+06 879031 1.91741e+06 2.27437e+06 4.79069e+06 1.31066e+06 
2024 2.53966e+06 1.78239e+06 1.71454e+06 868951 2.00386e+06 2.32472e+06 4.85752e+06 1.33802e+06 
2025 2.53966e+06 1.78239e+06 1.71454e+06 900843 2.02418e+06 2.36513e+06 4.94161e+06 1.38787e+06 
2026 2.53966e+06 1.78239e+06 1.71454e+06 929247 2.01197e+06 2.40336e+06 4.94626e+06 1.39108e+06 
2027 2.53966e+06 1.78239e+06 1.71454e+06 944440 2.01938e+06 2.43511e+06 5.13615e+06 1.40272e+06 
2028 2.53966e+06 1.78239e+06 1.71454e+06 963697 2.08388e+06 2.44474e+06 5.19476e+06 1.3694e+06 
2029 2.53966e+06 1.78239e+06 1.71454e+06 956386 2.07848e+06 2.44473e+06 5.03045e+06 1.35247e+06 
Alternative 6 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2016  0 135281 146281 177129 177129 177129 177129 1.19326e-09 
2017  0 135281 146281 204654 204710 204796 205266 240.668 
2018  0 135281 146281 135826 137130 139014 149352 5285.65 
2019  0 135281 146281 85463.8 95538.3 107540 175174 34266.8 
2020  0 135281 146281 40853.9 62150.3 86368.7 215617 67140.2 
2021  0 135281 146281 25550.6 61794.8 96165.5 282961 90365.2 
2022  0 135281 146281 18646.5 73209.9 108935 322003 102469 
2023  0 135281 146281 20318.1 89312.1 127838 346067 111924 
2024  0 135281 146281 22537.3 100859 138214 355325 117316 
2025  0 135281 146281 25752.1 102835 141212 366186 117562 
2026  0 135281 146281 24955.9 103091 140357 373038 116483 
2027  0 135281 146281 25854 102884 138649 364050 115999 
2028  0 135281 146281 25648 105574 135776 348740 114158 
2029  0 135281 146281 25611.2 101107 134553 352892 113583 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2016 658221 263288 230377 354537 354537 354537 354537 2.38651e-09 
2017 658221 263288 230377 394597 394597 394598 394600 1.13217 
2018 658221 263288 230377 349640 349955 350428 353036 1335.14 
2019 658221 263288 230377 244720 247137 249921 265173 8192.98 
2020 658221 263288 230377 167940 181172 195268 273969 41628 
2021 658221 263288 230377 128323 166276 194145 369713 85731.7 
2022 658221 263288 230377 115966 182828 218247 446952 116773 
2023 658221 263288 230377 115165 201515 240114 521661 133213 
2024 658221 263288 230377 113767 212273 255144 538146 145001 
2025 658221 263288 230377 113594 214118 260254 558826 152303 
2026 658221 263288 230377 115405 209767 261010 560584 152141 
2027 658221 263288 230377 117130 211947 260358 559543 150520 
2028 658221 263288 230377 117575 215253 258526 564527 149997 
