Stock Alt Year Catch ABC OFL SSB TotBiom
goa_wp 1 2017 176831 176831 204796 397851 1.55921e+06
goa_wp 1 2018 125264 125264 144990 367911 1.54635e+06
goa_wp 1 2019 104168 104168 120891 271999 1.57427e+06
goa_wp 1 2020 84544 84544 98130.4 214329 1.63537e+06
goa_wp 1 2021 90463.8 90463.8 105105 210396 1.73119e+06
goa_wp 1 2022 98154.2 98154.2 115835 234967 1.74594e+06
goa_wp 1 2023 115693 115693 135995 259096 1.83209e+06
goa_wp 1 2024 126185 126185 148254 277163 1.83458e+06
goa_wp 1 2025 130576 130576 152890 285086 1.82329e+06
goa_wp 1 2026 130455 130455 152592 287631 1.81431e+06
goa_wp 1 2027 129111 129111 151157 287871 1.81032e+06
goa_wp 1 2028 126738 126738 148337 286574 1.79542e+06
goa_wp 1 2029 125892 125892 147118 283732 1.77987e+06
goa_wp 2 2017 176831 176.721 204796 397851 1.55921e+06
goa_wp 2 2018 125264 122.772 144990 367911 1.54635e+06
goa_wp 2 2019 104168 87.4315 120891 271999 1.57427e+06
goa_wp 2 2020 84544 45.537 98130.4 214329 1.63537e+06
goa_wp 2 2021 90463.8 28.5135 105105 210396 1.73119e+06
goa_wp 2 2022 98154.2 0 115835 234967 1.74594e+06
goa_wp 2 2023 115693 0 135995 259096 1.83209e+06
goa_wp 2 2024 126185 28.0103 148254 277163 1.83458e+06
goa_wp 2 2025 130576 39.6309 152890 285086 1.82329e+06
goa_wp 2 2026 130455 55.5869 152592 287631 1.81431e+06
goa_wp 2 2027 129111 71.1277 151157 287871 1.81032e+06
goa_wp 2 2028 126738 79.0978 148337 286574 1.79542e+06
goa_wp 2 2029 125892 84.0772 147118 283732 1.77987e+06
goa_wp 3 2017 112683 176831 204796 404949 1.55921e+06
goa_wp 3 2018 87552.5 137188 158779 408807 1.62026e+06
goa_wp 3 2019 77411.6 121876 141369 329412 1.6821e+06
goa_wp 3 2020 75528.4 115904 134253 272152 1.75195e+06
goa_wp 3 2021 79851.5 114856 133299 260575 1.83343e+06
goa_wp 3 2022 79379.7 115562 134295 283277 1.84094e+06
goa_wp 3 2023 90787.7 132993 154924 308769 1.93018e+06
goa_wp 3 2024 99115.7 145449 169907 331327 1.94296e+06
goa_wp 3 2025 103753 151625 177569 344921 1.94309e+06
goa_wp 3 2026 103643 152422 178238 352493 1.94336e+06
goa_wp 3 2027 103238 151892 177870 356252 1.9466e+06
goa_wp 3 2028 101687 149427 175270 357631 1.93608e+06
goa_wp 3 2029 100738 148619 174076 356160 1.92287e+06
goa_wp 4 2017 53231.2 176831 204796 411122 1.55921e+06
goa_wp 4 2018 44788.1 148318 171649 447643 1.68912e+06
goa_wp 4 2019 41963.5 140009 162337 389052 1.79197e+06
goa_wp 4 2020 41621.4 139694 162205 339578 1.88027e+06
goa_wp 4 2021 43536.7 145171 168489 330926 1.9704e+06
goa_wp 4 2022 41567.3 137930 160334 360347 1.99135e+06
goa_wp 4 2023 48154.1 158379 183916 391623 2.09374e+06
goa_wp 4 2024 53802 176138 204344 422975 2.12431e+06
goa_wp 4 2025 57320.1 187326 217318 446349 2.14225e+06
goa_wp 4 2026 57529.8 188559 218837 462809 2.15825e+06
goa_wp 4 2027 57588.2 188934 219276 472872 2.17303e+06
goa_wp 4 2028 56895 186786 216753 479001 2.1703e+06
goa_wp 4 2029 56324.9 185212 215064 480288 2.16188e+06
goa_wp 5 2017 0 176831 204796 416359 1.55921e+06
goa_wp 5 2018 0 158341 183239 483137 1.75104e+06
goa_wp 5 2019 0 157674 182764 447887 1.8986e+06
goa_wp 5 2020 0 160972 186820 411092 2.01357e+06
goa_wp 5 2021 0 168576 195787 409609 2.11926e+06
goa_wp 5 2022 0 155897 181305 448467 2.15891e+06
goa_wp 5 2023 0 180824 210032 485648 2.27437e+06
goa_wp 5 2024 0 204683 237478 527073 2.32472e+06
goa_wp 5 2025 0 221403 256780 563013 2.36513e+06
goa_wp 5 2026 0 223739 259517 592055 2.40336e+06
goa_wp 5 2027 0 225101 261103 611516 2.43511e+06
goa_wp 5 2028 0 223112 258837 624968 2.44474e+06
goa_wp 5 2029 0 221582 257099 631024 2.44473e+06
goa_wp 6 2017 204796 176831 204796 394598 1.55921e+06
goa_wp 6 2018 139014 120096 139014 350428 1.51428e+06
goa_wp 6 2019 107540 93138.3 107540 249921 1.53069e+06
goa_wp 6 2020 86368.7 74324.2 86368.7 195268 1.59639e+06
goa_wp 6 2021 96165.5 80917.3 96165.5 194145 1.6982e+06
goa_wp 6 2022 108935 90798.2 108935 218247 1.71286e+06
goa_wp 6 2023 127838 107610 127838 240114 1.79323e+06
goa_wp 6 2024 138214 116627 138214 255144 1.78888e+06
goa_wp 6 2025 141212 119443 141212 260254 1.77183e+06
