Stock Alt Year Catch ABC OFL SSB TotBiom
goa_wp 6 2026 140357 118606 140357 261010 1.75965e+06
goa_wp 6 2027 138649 117163 138649 260358 1.75403e+06
goa_wp 6 2028 135776 114534 135776 258526 1.73844e+06
goa_wp 6 2029 134553 113709 134553 255710 1.72303e+06
goa_wp 7 2017 176831 176831 204796 397851 1.55921e+06
goa_wp 7 2018 125264 125264 144990 367911 1.54635e+06
goa_wp 7 2019 120891 104168 120891 269705 1.57427e+06
goa_wp 7 2020 93059.7 80139.5 93059.7 205797 1.61789e+06
goa_wp 7 2021 99046.7 84839.5 99046.7 199747 1.70804e+06
goa_wp 7 2022 109661 91872.6 109661 221182 1.71722e+06
goa_wp 7 2023 128016 107856 128016 241667 1.79532e+06
goa_wp 7 2024 138192 116674 138192 255972 1.78992e+06
goa_wp 7 2025 141155 119473 141155 260724 1.77242e+06
goa_wp 7 2026 140331 118580 140331 261289 1.76002e+06
goa_wp 7 2027 138642 117155 138642 260526 1.75426e+06
goa_wp 7 2028 135778 114586 135778 258627 1.73859e+06
goa_wp 7 2029 134556 113711 134556 255769 1.72311e+06
