"","Model","Metric","Selectivity","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Combined"
"11","mod10","RE","Average",-0.0628889642019445,-0.0899872590819466,-0.240333041442765,0.0211603553040651,0.0224144481610689,9.61389915414258e-07,2.9487526932098e-08,-1.26373857590385e-06,-0.0791831583945585,-0.239334539120196,-0.0461004785207518
"12","mod10","RE","Projected",-0.0766963623558739,-0.0184702912344454,-0.140372228511696,-0.0230808009544051,0.0024932026191942,7.07746587466749e-07,4.33014428212076e-07,2.59276022979818e-07,-0.00638491153794709,-0.0954767244391074,-0.0234574524757911
"13","mod2","MSE","Average",4.54674013471763e-09,1.52258022839973e-07,1.6291679655181e-05,3.76701318852842e-05,4.13855532831306e-06,3.83087908656059e-05,7.55650708142294e-05,5.4628134809843e-05,0.000519831086506297,0.000327454437831398,6.28915756293252e-05
"14","mod2","MSE","Projected",4.54674013471763e-09,1.52258022839973e-07,1.6291679655181e-05,3.76701318852842e-05,4.13855532831306e-06,3.83087908656059e-05,7.55650708142294e-05,5.4628134809843e-05,0.000519831086506297,0.000327454437831398,6.28915756293252e-05
"15","mod2","RE","Average",-0.000330579932486577,0.00411264587556291,-0.00899266511679246,0.00248694162160413,0.00147366087738265,0.000445763015559887,-0.00619348170893788,0.00540421747194383,0.000806426848999859,-0.0159720326886869,-0.00231022930869841
"16","mod2","RE","Projected",-0.000330579932486577,0.00411264587556291,-0.00899266511679246,0.00248694162160413,0.00147366087738265,0.000445763015559887,-0.00619348170893788,0.00540421747194383,0.000806426848999859,-0.0159720326886869,-0.00231022930869841
"17","mod3","MSE","Average",4.56768136167343e-09,2.83751009993576e-07,1.13839552421006e-05,4.5045369024231e-05,6.30390039738716e-06,2.21848383821134e-07,1.44640419252313e-07,1.53098193574484e-05,0.000628655736008435,0.000362196735454548,6.80624151622056e-05
"18","mod3","MSE","Projected",4.56768136167339e-09,2.83751009993573e-07,1.13839552421005e-05,4.50453690242303e-05,6.30390039738659e-06,2.21848383821024e-07,1.44640419252291e-07,1.53098193574483e-05,0.000628655736008433,0.000362196735454547,6.80624151622054e-05
"19","mod3","RE","Average",-0.000446889317970036,-0.00398754872111076,-0.00637846404164323,-0.00448886620097194,-0.00124242067925903,-0.000226364712952124,-5.50965170531121e-06,0.00024311835312888,0.000390604173167707,-0.0175318067690162,-0.0031831768980455
"20","mod3","RE","Projected",-0.000446889317969868,-0.00398754872111062,-0.00637846404164307,-0.00448886620097183,-0.00124242067925886,-0.000226364712951967,-5.50965170515544e-06,0.000243118353129036,0.00039060417316788,-0.0175318067690161,-0.00318317689804539
"21","mod4","MSE","Average",2.63502816237835e-08,4.63429214253398e-06,0.000355054024048964,0.00110545472996838,0.00788846480077124,0.00373835447358171,0.00397635759078238,0.000115053447806297,0.00431529808031643,0.00237275505970308,0.00148827205182628
"22","mod4","MSE","Projected",2.18617081791012e-08,3.98692131526697e-06,0.000335412167499362,0.00118243128145734,0.00340095033962959,0.00186523724634601,0.00400583904521656,0.000160436941213803,0.00330348732723809,0.00194698106275476,0.000864667027872925
"23","mod4","RE","Average",-0.0309510433496132,-0.0273359505220134,-0.0296834842199275,0.0293600608485616,0.0782421018947531,0.0454613069303063,-0.00798677656327435,-0.00569979035643493,-0.0402788507320937,-0.0624757145453692,-0.00438153962133109
"24","mod4","RE","Projected",-0.0278317386079888,-0.025954614768111,-0.0448914920217359,0.0264430898677051,0.0489862485418902,0.0291926007995836,-0.0182906856982752,-0.00430629348109368,-0.024981592347685,-0.0399438788749414,-0.00643590950143831
"25","mod5","MSE","Average",5.63212697430808e-08,8.11068047458221e-07,5.27050589900139e-06,1.86154397233625e-05,1.4889479554008e-05,3.46155864808781e-05,0.000288047240686082,0.000121927880413671,0.000498591961717185,0.000176247978931795,5.69363355579533e-05
"26","mod5","MSE","Projected",5.63212697430808e-08,8.11068047458221e-07,5.27050589900139e-06,1.86154397233625e-05,1.4889479554008e-05,3.46155864808781e-05,0.000288047240686082,0.000121927880413671,0.000498591961717185,0.000176247978931795,5.69363355579533e-05
"27","mod5","RE","Average",-0.0129399309128191,0.0120461008548046,-0.0050273543624357,0.00196379913626248,0.00460024471201534,0.00470847705261148,-0.0110849209337262,0.0100710896783331,0.0023489584009701,-0.0142982918867603,-0.00114413950095701
"28","mod5","RE","Projected",-0.0129399309128191,0.0120461008548046,-0.0050273543624357,0.00196379913626248,0.00460024471201534,0.00470847705261148,-0.0110849209337262,0.0100710896783331,0.0023489584009701,-0.0142982918867603,-0.00114413950095701
"29","mod6","MSE","Average",9.80709239645386e-07,8.30051249882302e-05,0.00382828822491853,0.00786867251978236,0.00029182717749629,4.24907837649052e-23,1.75230850867942e-23,9.73514133027126e-23,3.88803976356942e-23,0.0113296314203945,0.00139827406359687
"30","mod6","MSE","Projected",4.69839653008709e-07,4.33423122350767e-05,0.00174665404410723,0.00313642740936215,7.6916367862936e-05,3.74087392191998e-23,1.54275647772967e-23,8.57081932260663e-23,3.42299581838148e-23,0.00503112785036927,0.000549702224448946
"31","mod6","RE","Average",-0.256683079685775,-0.21659877883374,-0.197803321768611,-0.115940805357054,-0.0137811181098884,-2.59037236077841e-13,-1.66333613537917e-13,-3.92041954392168e-13,-2.47757370150002e-13,-0.147418354789498,-0.055447344701667
"32","mod6","RE","Projected",-0.181600337862379,-0.131609436203799,-0.126016265579836,-0.0686475923294222,-0.00627722344866708,1.18465237623708e-12,7.60813634332059e-13,1.79318782054763e-12,1.13318243681197e-12,-0.0948130898130613,-0.0328959777729217
"33","mod7","MSE","Average",4.71250611465877e-07,0.000140803183894139,0.00539108460643145,0.00231728566758279,2.29365532047521e-05,3.0514118050775e-24,7.44062174313003e-24,1.44774319654329e-19,0.00303905522936694,0.0124391319832501,0.00160151218999949
"34","mod7","MSE","Projected",2.75993541773935e-07,8.41602948720973e-05,0.00242168996465575,0.00186827273653768,1.89352708284215e-05,3.16330918533706e-24,8.16656742649445e-24,1.70824169937767e-19,0.00251941159295489,0.00928480357666336,0.00108302921959033
"35","mod7","RE","Average",-0.208831839984009,-0.191189531306218,-0.195006160924036,-0.0317360722964917,-0.00086200790115492,6.54543086402565e-13,9.81392744858836e-13,1.19526788677455e-10,-0.0153979990826987,-0.12706431014627,-0.0429872858696973
"36","mod7","RE","Projected",-0.150166112946864,-0.0790713442954238,-0.125685538862693,-0.0312240843030891,-0.000735461256479842,6.94777568815139e-13,1.11839426609852e-12,1.5611254536034e-10,-0.00639579934691081,-0.0594828531073709,-0.0260591411550248
"37","mod8","MSE","Average",8.63840649218526e-08,0.000101871928371426,0.00740212808142373,0.0184774797264674,0.000977757105738972,1.29282132064077e-20,1.76592324746974e-19,4.45110139052443e-23,0.0107880543033282,0.0452516801697512,0.00615289378069539
"38","mod8","MSE","Projected",9.55735880527258e-08,5.56578628789836e-05,0.00227268103019822,0.00303680691203916,7.62025585973335e-05,7.97769752832859e-21,9.72925623565417e-20,7.76252455584241e-24,0.00324487316801951,0.0265713802058418,0.00256613727868582
"39","mod8","RE","Average",-0.0538375058649477,-0.0676578985687819,-0.238853071689974,0.0240617839069409,0.0278582513891444,6.18680218341436e-11,-1.2754242001318e-11,-4.75606221075996e-12,-0.0812221280177223,-0.220597948939783,-0.0443088759168435
"40","mod8","RE","Projected",-0.0638760478191393,-0.0179239686994203,-0.142038584935681,-0.0130000356616894,0.00372126969606913,4.29211333273239e-11,1.24343779862228e-10,7.27817806032854e-13,-0.00068858979529722,-0.0700438021695576,-0.0219743405440036
