"","Model","Metric","Selectivity","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Combined"
"1","mod0","MSE","Average",4.56768136159317e-09,2.83751010029318e-07,1.13839552424354e-05,4.50453690212951e-05,6.3039003965742e-06,2.21848383794817e-07,1.44640419181733e-07,1.53098193436581e-05,0.000628655735226253,0.000362196735184395,6.80624151266278e-05
"2","mod0","MSE","Projected",4.56768136159317e-09,2.83751010029318e-07,1.13839552424354e-05,4.50453690212951e-05,6.3039003965742e-06,2.21848383794817e-07,1.44640419181733e-07,1.53098193436581e-05,0.000628655735226253,0.000362196735184395,6.80624151266278e-05
"3","mod0","RE","Average",-0.000446889317643811,-0.00398754872170828,-0.00637846404289029,-0.00448886620174664,-0.00124242067942365,-0.000226364712976862,-5.50965174258429e-06,0.000243118352413735,0.000390604165181186,-0.0175318067723774,-0.00318317689762889
"4","mod0","RE","Projected",-0.000446889317643811,-0.00398754872170828,-0.00637846404289029,-0.00448886620174664,-0.00124242067942365,-0.000226364712976862,-5.50965174258429e-06,0.000243118352413735,0.000390604165181186,-0.0175318067723774,-0.00318317689762889
"5","mod1","MSE","Average",3.29694332328144e-06,0.000340649878663406,0.0121718057371602,0.00812961890571303,0.000133359732663463,9.93659877167597e-07,2.97541732447187e-07,1.81555684805149e-05,0.000529364711993109,0.000295262958440309,0.00103873239780174
"6","mod1","MSE","Projected",2.40864851173315e-06,0.000229828470807545,0.00651970378168147,0.00268304894839112,3.80776074840317e-05,3.22039651297969e-07,2.76402848700031e-07,1.81427799495922e-05,0.000529359300689087,0.000295262880532774,0.000562516369234442
"7","mod1","RE","Average",-0.237786144893381,-0.233485094624832,-0.206554711726132,-0.0764371130732042,-0.0084675376037952,-0.000694796578761493,-0.000182509126652489,-0.0013286171398804,-0.0100924487811145,-0.0182657300993428,-0.0282976014327196
"8","mod1","RE","Projected",-0.0377094090466085,-0.0521158754509514,-0.0624557728817065,-0.0237134693517962,-0.00254745052901351,-0.000220927129123693,-0.000146244160455609,-0.00132589232736483,-0.0100922502961065,-0.0182657158502447,0.00106203472641263
"9","mod10","MSE","Average",9.60516192017154e-08,0.000103982294119545,0.00730835964906117,0.0162380293383904,0.000642660548447412,3.03718584745123e-12,1.60759421462673e-12,3.59022185133438e-12,0.00872730531040998,0.041799292617472,0.00549782103328072
"10","mod10","MSE","Projected",9.85223391777773e-08,5.71631582148895e-05,0.00224529422771702,0.0025979157493535,5.86235148444092e-05,2.1124771642891e-12,1.01687101776001e-12,8.35143252898156e-13,0.00252253887851944,0.0252564135812102,0.00241390083053534
